label,oid,gid,c, wbcc, wrn, i, nfb, sscore, len, imn, svtype, wbrc, im, vpc, wbfc, wcn
0,1022:2309614123542705813246,777600699531788289,0, 0, 0, 0, 0, 50, 216, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123632887537552,777602919627227137,0, 0, 35, 0, 0, 50, 918, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123529359536167,777600424251228161,0, 0, 0, 0, 0, 50, 485, 2, -1, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123625398771979,777603272619851778,0, 1290, 0, 0, 0, 100, 137, 3, 3, 320, 1, 0, 3475, 0
0,1022:2309614123566579841785,777595918159446017,0, 0, 0, 0, 0, 50, 772, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123664636980884,777603962500546561,0, 3, 0, 0, 0, 50, 120, 1, 1000, 1, 1, 3524454, 7, 3842
0,1042015:articleMblog_4123603127071134,777594292381679619,0, 1, 0, 0, 0, 50, 77, 1, 9000, 2, 1, 1892, 7, 1
0,1022:2309614123631297891765,777603842776760321,0, 0, 16, 0, 0, 50, 1011, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123629368547089,777602973448536071,0, 0, 21, 0, 0, 50, 392, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123690169176999,777604958662950914,0, 0, 20, 0, 0, 50, 706, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123549295090701,777599245685358594,0, 0, 0, 0, 0, 50, 1038, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123556390128460,777601523360202756,0, 121, 0, 0, 0, 50, 146, 7, 9000, 134, 1, 0, 508, 0
0,1022:2309351002794123578332281742,777596542540316673,0, 0, 13, 0, 0, 100, 1392, 5, 3, 0, 1, 0, 0, 0
0,1022:2309351000024123541288187690,777601146342604805,0, 0, 6, 0, 0, 100, 80, 0, 3, 0, 0, 0, 0, 0
0,1022:2309351002614123610401928599,777598776862834690,0, 0, 14, 0, 0, 100, 921, 0, 3, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123558609732790,777593936704700417,0, 2, 0, 0, 0, 50, 116, 1, 1, 5, 1, 928637, 2, 1122
0,1022:2309351002674123621231598459,777597132829884417,0, 0, 6, 0, 0, 70, 846, 1, 2, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123549616591458,777590667295064068,0, 0, 0, 0, 0, 45, 89, 1, 9000, 0, 1, 1087848, 2, 472
0,1022:2309351000064123546350711313,777594241511587842,0, 0, 6, 0, 0, 50, 466, 0, 2, 0, 0, 0, 0, 0
0,1022:2309614123540281544042,777600045891452935,0, 0, 0, 0, 0, 50, 1054, 22, -1, 0, 1, 0, 0, 0
0,1022:2309351000494123546396849157,777595384643977218,0, 0, 49, 0, 0, 100, 1424, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123566814660779,777591539440287745,0, 0, 0, 0, 0, 50, 478, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123659919868401,777602980830511106,0, 1, 193, 0, 0, 50, 1234, 2, -1, 0, 1, 0, 5, 1
