label,oid,gid,wbcc, len, wbrc, im, vpc, imn, c, nfb, svtype, wrn, sscore, i, wbfc, wcn
0,1022:2309614123640470868222,777601607783153666,0, 0.07287621359223301, 0, 0, 0, 0, 0, 0, -1, 0.11057692307692307, 0.058823529411764705, 0, 0, 0
0,1022:2309614123551480338452,777594961723916289,0, 0.06320012110202845, 0, 1, 0, 0.1111111111111111, 0, 0, -1, 0, 0.04950495049504951, 0, 0, 0
0,1022:2309351001014123641250999951,777601683884605442,0, 0.07805695142378559, 0, 0, 0, 0, 0, 0, 3, 0.1440677966101695, 0.125, 0, 0, 0
0,1022:2309614123670413972981,777604895043747845,0, 0.08115447280626892, 0, 1, 0, 0.09090909090909091, 0, 0, -1, 0.04639175257731959, 0.07692307692307693, 0, 0, 0
0,1022:2309614123631805459160,777601765086330881,0, 0.06396761133603239, 0, 0, 0, 0, 0, 0, -1, 0.06, 0.0625, 0, 0, 0
0,1022:2309614123565296365405,777601523360202756,0, 0.07439775403006701, 0, 1, 0, 0.016129032258064516, 0, 0, -1, 0, 0.044642857142857144, 0, 0, 0
0,1042015:articleMblog_4123576539298175,777593020668706818,0, 0.0671462829736211, 0, 1, 0.07145198189018605, 0.06666666666666667, 0, 0, 3, 0, 0.06578947368421052, 0, 0, 0.07147416659521155
0,1022:2309614123535223223094,777582190638661633,0, 0.05395511698233328, 0, 0, 0, 0, 0, 0, -1, 0, 0.050761421319796954, 0, 0, 0
0,1042015:articleMblog_4123595448080921,776933131692802050,0, 0.08305921052631579, 0.00012185215272136474, 1, 0.10606836427764374, 0.05555555555555555, 0, 0, 3, 0, 0.0546448087431694, 0, 6.813381481229134e-05, 0.10796734754183135
0,1022:2309351002764123629607626073,777602007617765382,0, 0.06388406980304112, 0, 0, 0, 0, 0, 0, 3, 0.024752475247524754, 0.08695652173913043, 0, 0, 0
0,1022:2309351001824123588813841273,777601145805733892,0, 0.08492957746478873, 0, 0, 0, 0, 0, 0, -1, 0.06842105263157895, 0.06622516556291391, 0, 0, 0
0,1022:2309614123539019025811,777597134440497153,0, 0.06455733158163637, 0, 0, 0, 0, 0, 0, -1, 0, 0.04950495049504951, 0, 0, 0
0,1022:2309614123639426451061,777602980293640195,0, 0.07101183530588431, 0, 1, 0, 0.07142857142857142, 0, 0, -1, 0.104, 0.058823529411764705, 0, 0, 0
0,1022:2309614123664151918733,777604490779951105,0, 0.08921438082556592, 0, 1, 0, 0.08333333333333333, 0, 0, -1, 0.03783783783783784, 0.07575757575757576, 0, 0, 0
0,1022:2309351002764123631151088599,777603860627718145,0, 0.07604109337736195, 0, 1, 0, 0.1111111111111111, 0, 0, 3, 0.03636363636363636, 0.125, 0, 0, 0
0,1022:2309614123632862391867,777602986870308865,0, 0.09187363537117904, 0, 1, 0, 0.125, 0, 0, -1, 0.15217391304347827, 0.07692307692307693, 0, 0, 0
0,1022:2309614123617649666603,777603536357687301,0, 0.06923876331514679, 0, 0, 0, 0, 0, 0, -1, 0.06646525679758308, 0.05, 0, 0, 0
0,1022:2309614123655650069081,777603794458378241,0, 0.054712344608268286, 0, 0, 0, 0, 0, 0, -1, 0.025604551920341393, 0.043478260869565216, 0, 0, 0
0,1022:2309614123660624478252,777602007617765382,0, 0.06388406980304112, 0, 0, 0, 0, 0, 0, -1, 0.09405940594059406, 0.043478260869565216, 0, 0, 0
0,1022:2309814123523772714017,777600228964433921,0, 0.0711978465679677, 0, 0, 0, 0, 0, 0, 3, 0, 0.11764705882352941, 0, 0, 0
0,1022:2309351001824123628626142955,777600854955917315,0, 0.06961530256701984, 0, 1, 0, 0.1076923076923077, 0, 0, -1, 0.07547169811320754, 0.04, 0, 0, 0
0,1022:2309351001904123670640459926,777602980293640195,0, 0.07240095571484136, 0, 1, 0, 0.07142857142857142, 0, 0, -1, 0.02, 0.058823529411764705, 0, 0, 0
0,1042015:articleMblog_4123523725516787,774940734616240330,0.023715415019762844, 0.08751793400286945, 0.009601181683899557, 1, 0.17896202033196165, 0.09090909090909091, 0, 0, 9000, 0, 0.09803921568627451, 0, 0.029644268774703556, 0.19347714847432065
0,1022:2309614123539404906579,777597132829884417,0, 0.05612377006732263, 0, 1, 0, 0.08, 0, 0, -1, 0, 0.052083333333333336, 0, 0, 0
0,1042015:articleMblog_4123606922883918,777603234769928194,1.0, 0.06550130600763512, 0.9523809523809523, 0, 0, 0, 0, 0, 1, 0, 0.047619047619047616, 0, 1.0, 0
1,1022:2309614123530064169502,777595918159446017,0, 0.07017543859649122, 0, 0, 0, 0, 0, 0, -1, 0, 0.05102040816326531, 0, 0, 0
0,1022:2309614123656291807791,777453594622820353,0, 0.09848841115216661, 0, 1, 0, 0.08333333333333333, 0, 0, -1, 0.15254237288135594, 0.07692307692307693, 0, 0, 0
0,1022:2309614123632354873031,777602734943633420,0, 0.08743570903747244, 0, 1, 0, 0.07142857142857142, 0, 0, -1, 0.02244668911335578, 0.07142857142857142, 0, 0, 0
0,1022:2309351001064123563517955640,777592986844266498,0, 0.05223958879681108, 0, 0, 0, 0, 0, 0, 3, 0.025210084033613446, 0.06140350877192982, 0, 0, 0
0,1022:2309614123535424551472,777596203506335745,0, 0.05166475315729047, 0, 1, 0, 0.05555555555555555, 0, 0, -1, 0, 0.05291005291005291, 0, 0, 0
0,1022:2309614123629490174208,777602007617765382,0, 0.06480253087049699, 0, 0, 0, 0, 0, 0, -1, 0.09405940594059406, 0.043478260869565216, 0, 0, 0
0,1022:2309614123567326364760,777601586576752641,0, 0.06717747683535281, 0, 1, 0, 0.09090909090909091, 0, 0, -1, 0, 0.043478260869565216, 0, 0, 0
0,1022:2309351002674123543800539498,777589411283992587,0, 0.07825335062689148, 0, 1, 0, 0.07692307692307693, 0, 0, 2, 0.17197452229299362, 0.07894736842105263, 0, 0, 0
0,1022:2309614123664277749785,777599728869179393,0, 0.058154932685941296, 0, 1, 0, 0.05128205128205128, 0, 0, -1, 0.0027380515829360714, 0.03676470588235294, 0, 0.0006150061500615006, 0
0,1042015:articleMblog_4123535322990950,777590667295064068,0, 0.0669772859638905, 0.04081632653061224, 1, 0.10515295781153028, 0.07142857142857142, 0, 0, 2, 0, 0.06896551724137931, 0, 0.043668122270742356, 0.09240088105726872
0,1022:2309351002334123523558801757,777569213529194497,0, 0.09310344827586207, 0, 1, 0, 0.16666666666666666, 0, 0, 3, 0.171875, 0.12195121951219512, 0, 0, 0
